address,appointed_actuary,category,contacts,insurer_email,insurer_name,leader_designation,leader_email,leader_name,registration_number,serial_no,source_url,website,website_url
", , , , (), - 400099Raheja QBE General Insurance Co. Ltd. Ground Floor, P&G Plaza, Cardinal Gracious Road, Chakala, Andheri (East),Mumbai - 400099",/ Nikhil Kamdar,general,/ Phone: 022- 4231 3888 Fax : 022-4231 3777,,Raheja QBE General Insurance Co. Ltd.,,,Mr. Rajeev Dogra,,17,https://irdai.gov.in/list-of-general-insurers,/ Web: www.rahejaqbe.com,https://www.rahejaqbe.com
", 6 , , , , , (), - 400063 Reliance General Insurance Company Limited, 6th Floor, Oberoi Commerz, International Business Park, Oberoi Garden City, Off Western Express Highway, Goregaon (East), Mumbai – 400063",Mr. A V Karthikeyan,general,/ Phone: 022-33031000 / Fax : 022-33034662,,Reliance General Insurance Company Limited,,,Mr. Rakesh Jain,,18,https://irdai.gov.in/list-of-general-insurers,/ Web: www.reliancegeneral.co.in,https://www.reliancegeneral.co.in
""" "", 2/319, (), , - 600097 ""Vishranthi Melaram Towers"", No.2/319, Rajiv Gandhi Salai (OMR), Karapakkam, Chennai - 600097",Mr. A V Ramanan,general,/ Phone: 044-71177117,,Royal Sundaram General Insurance Company Limited,,,Mr. Vedanarayanan,,19,https://irdai.gov.in/list-of-general-insurers,/ Web: www.royalsundaram.in,https://www.royalsundaram.in
", 9 , & , , (), 400099 Fulcrum Building, 9th Floor, A & B wing, Sahar Road, Andheri (East), Mumbai 400099",Mr. Pushkar Deodhar,general,/ Phone no : +91 22 4241 2000,,SBI General Insurance Company Limited,,,Mr. Naveen Chandra Jha,,20,https://irdai.gov.in/list-of-general-insurers,/ Web : www.sbigeneral.in,https://www.sbigeneral.in
"-8, , , , - 302022 () E-8, EPIP, RIICO Industrial Area, Sitapura, Jaipur - 302022 (Rajasthan)",Mr. Sourav Roy,general,"/ Phone: +91-141-4828400, 4951111, 3996700 / Fax: +91-141-2770692 / 93",,Shriram General Insurance Company Limited,,,Mr. Anil Kumar Aggarwal,,21,https://irdai.gov.in/list-of-general-insurers,/ Web: Address: www.shriramgi.com,https://www.shriramgi.com
", , 15 , , , - 400013 Peninsula Business Park, Tower A, 15th Floor, G.K. Marg, Lower Parel, Mumbai – 400013",Mr.Supriyo Chaki,general,/ Phone: 022-66699696,,Tata AIG General Insurance Company Limited,,,Mr.Amit S.Ganorkar,,22,https://irdai.gov.in/list-of-general-insurers,/ Web: www.tataaig.com,https://www.tataaig.com
"87, , , , - 400 001 87, M.G Road, Fort, Mumbai, Maharashtra – 400 001",Mr Sharad Ramnarayanan,general,/ Phone: 022-22708100 / Fax: 022-22700470,,The New India Assurance Company Limited,,,Mrs. Girija Subramanian,,23,https://irdai.gov.in/list-of-general-insurers,/ Web: www.newindia.co.in,https://www.newindia.co.in
", "" "", -25/27, , -I 110 002 The Oriental Insurance Company Limited,“Oriental House”, A-25/27, Asaf Ali Road, New Delhi-I 110 002",Mr. Rohit Singhal,general,"/ Phone: 011-2326 5024, 2327 9221",,The Oriental Insurance Company Limited,,,() () Mr Rashmi Bajpai (ED) & Mr.Amit Mishra (ED),,24,https://irdai.gov.in/list-of-general-insurers,/ Web: www.orientalinsurance.org.in,https://www.orientalinsurance.org.in
"24, , -600014 No.24, Whites Road, Chennai -600014",/ Mr. Ramnath Venkat Bhagavath,general,/ Phone : 044-28520958/28525275 / Fax: 044-28525280,,United India Insurance Company Limited,,,Mr. Bhupesh Sushil Rahul,,25,https://irdai.gov.in/list-of-general-insurers,/ Web: www.uiic.co.in,https://www.uiic.co.in
"103, , , , (), -400093, Unit No.103, 1st Floor, Ackruti Star, MIDC, Andheri (East), Mumbai-400093, Maharashtra",Mr.Vikas Garg,general,/ Phone: 022-41659800/ 41659900,,Universal Sompo General Insurance Company Limited,,,Mr.Sharad Mathur,,26,https://irdai.gov.in/list-of-general-insurers,/ Web: www.universalsompo.com,https://www.universalsompo.com
", 3, , , , () , 400070 2nd floor, Tower 3, Wing B, Kohinoor City, Kirol Road, Kurla (west) Mumbai City MH, 400070",Ms. Tania Chakrabarti,general,/ Phone : 1800 12000,,( ) Zuno General Insurance Ltd. (formerly known as Edelweiss General Insurance Company Limited),,,Ms. Shubhdarshini Ghosh,,27,https://irdai.gov.in/list-of-general-insurers,/ Web: www.hizuno.com,https://www.hizuno.com
,,general,,,"(3 , 2021 ) Bharti Axa General Insurance Co. Ltd (Merged with ICICI Lombard General Insurance Co. Ltd effective from 3rd September, 2021)",,,,,28,https://irdai.gov.in/list-of-general-insurers,,
", , 19953, - 400021 Yogakshema, Jeevan Bima Marg, Post Box No. 19953, Mumbai - 400021",Mr. Ajay Kumar Srivastava,life,/ Tel 22-68276827,https://www.licindia.in/,Life Insurance Corporation of India,& MD & CEO,,. Mr. R. Doraiswamy,512,1,https://irdai.gov.in/list-of-life-insurers1,,
", 11, 12 , , , , - II, - 122002, 3rd, 11th, 12th Floor, DLF Square Building, Jacaranda Marg, DLF City, Phase - II, Gurgaon - 122002, Haryana",Mr. Jose Chathuparambil John,life,/ Tel 0124-4121500,https://www.axismaxlife.com/,Axis Max Life Insurance Limited,& MD & CEO,,Mr. Sumit Madan,104,2,https://irdai.gov.in/list-of-life-insurers1,,
"13 , , , , , - 400011, 13th Floor, Lodha Excelus, Apollo Mills Compound, N.M. Joshi Road, Mahalaxmi, Mumbai - 400011, Maharashtra",Ms. Eshwari Murugan,life,/ Tel 022 - 67516666,https://www.hdfclife.com/,HDFC Life Insurance Company Limited,& MD & CEO,,Ms. Vibha Padalkar,101,3,https://irdai.gov.in/list-of-life-insurers1,,
", 1089, , , - 400025 ICICI Prulife Towers,1089, Appasaheb Marathe Marg, Prabhadevi,Mumbai - 400025",Mr. Souvik Jash,life,/ Tel (022) 40391600,https://www.iciciprulife.com/,ICICI Prudential Life Insurance Company Limited,& MD & CEO,,Mr. Anup Bagchi,105,4,https://irdai.gov.in/list-of-life-insurers1,,
"901 (-) 902 (-), 9 , ( 4), , , , (), - 400097 901 (A-wing) & 902 (B-Wing), 9th floor, Intellion Square (Building No. 4), Infinity Park, Off. W. E. Highway, General AK Vaidya Marg, Malad (E), Mumbai-400 097",. Mr. R. Jayaraman,life,/ Tel 022-66057652 / 6605777,https://www.kotaklife.com/,Kotak Mahindra Life Insurance Company Limited,& MD & CEO,,Mr. Mahesh Balasubramanian,107,5,https://irdai.gov.in/list-of-life-insurers1,,
", 1, 16 , , 841, , , - 400013 One India Bulls Centre,Tower 1, 16th Floor, Jupiter Mill Compound, 841, SenapatiBapatMarg, Elphinstone Road,Mumbai - 400013.",Mr. Nakul Yadav,life,/ Tel 022 - 43569000,https://lifeinsurance.adityabirlacapital.com/,Aditya Birla SunLife Insurance Company Limited,& MD & CEO,,Mr. Kamlesh Rao,109,6,https://irdai.gov.in/list-of-life-insurers1,,
"14 , , , , - 400013 14th Floor, Tower A, Peninsula Business Park Lower Parel, Senapati Bapat Marg, Mumbai - 400013",Mr. Kshitij Sharma,life,/ Tel 022 - 66479000,http://tataaia.com/,TATA AIA Life Insurance Company Limited,& MD & CEO,,Shri. Venkatachalam Iyer,110,7,https://irdai.gov.in/list-of-life-insurers1,,
""""", , (), 400069 “Natraj”, M.V. Road & Western Express Highway Junction, Andheri (East), Mumbai 400069",Mr. Prithesh Chaubey,life,/ Tel 022-61910000 / 1800 267 9090,https://www.sbilife.co.in/,SBI Life Insurance Company Limited,& MD & CEO,,Shri. Amit Jhingran,111,8,https://irdai.gov.in/list-of-life-insurers1,,
", , , - 411006 Bajaj Allianz House, Airport Road, Yerawada, Pune - 411006",Mr. Avdhesh Gupta,life,/ Tel 020 - 66026773,https://www.bajajlifeinsurance.com/,Bajaj Life Insurance Limited,& MD & CEO,,Mr. Tarun Chugh,116,9,https://irdai.gov.in/list-of-life-insurers1,,
"101, , - 1, , , (), - 400062 Unit No. 101, 1st Floor, Techniplex - 1, Techniplex Complex, Veer Savarkar Flyover, Off S V Road Goregaon (West), Maharashtra - 400062",Ms. Asfa Kausar Bihari,life,/ Tel 022 - 41790000,https://www.pnbmetlife.com/,PNB MetLife India Insurance Company Limited,& MD & CEO,sbansal@pnbmetlife.com,Mr. Sameer Bansal,117,10,https://irdai.gov.in/list-of-life-insurers1,,
"Unit Nos. 401B, 402, 403 & 404, 4th Floor, Inspire-BKC, G Block, BKC Main Road, Bandra Kurla Complex, Bandra East, Mumbai-400051",Mr. Pradeep Kumar Thapliyal,life,/ Tel 022 6896 5000,http://www.reliancenipponlife.com/,Reliance Nippon Life Insurance Company Limited,& CEO & ED,,Mr. Ashish Vohra,121,11,https://irdai.gov.in/list-of-life-insurers1,,
"401-, , , , -20, -8, , -122016, 401-A, 4th Floor, Block A, DLF Cyber Park, Sector-20, NH-8, Gurugram, Haryana-122016, India",Mr. Ajai Kumar Tripathy,life,/ Tel 0124 - 2709000/46,https://www.avivaindia.com/,Aviva Life Insurance Company India Limited,& MD & CEO,,Mr. Asit Rath,122,12,https://irdai.gov.in/list-of-life-insurers1,,
", 1, , , - 226024 Sahara India Centre, 1, Kapoorthala Complex, Aliganj, Lucknow - 226024",Mr. Ripudaman Sethi,life,/ Tel 0522-2337777,https://www.saharalife.com/,Sahara India Life Insurance Company Limited,"WTD, President & CEO",,Mr. A K Dasgupta,127,13,https://irdai.gov.in/list-of-life-insurers1,,
", : 31 32, , , , - 500032 Ramki Selenium,Plot No:31 & 32,Beside Andhra Bank Training Centre, Financial District, Gachibowli, Hyderabad - 500032.",Mr. Johannes Gilliam van Helsdingen,life,/ Tel 040 - 23434466-72,https://shriramlife.com/,Shriram Life Insurance Company Limited,& MD & CEO,,Mr. Casparus Jacobus Hendri Kromhout,128,14,https://irdai.gov.in/list-of-life-insurers1,,
": 1904, 19 , , '' , , , , , - 400051 Unit no:1904,19th Floor, Parinee Crescenzo,‘G’ Block, Bandra Kurla Complex, BKC Road, Behind MCA Ground, Bandra East, Mumbai - 400051",Mr. Mayank Saurabh Mentor actuary( Mr. Varun Gupta),life,/ Tel 022 - 40306397,https://www.bharti-axalife.com/,Bharti AXA Life Insurance Company Limited,& MD & CEO,,Mr. Parag Raja,130,15,https://irdai.gov.in/list-of-life-insurers1,,
", 3, 6 , , (), - 400013 Indiabulls Finance Centre, Tower 3, 6th Floor, Senapati Bapat Marg, Elphonstone (W), Mumbai-400013",Mr. Aditya Mall,life,/ Tel 022- 40976666,https://www.generalicentrallife.com/,Generali Central Life Insurance Company Limited,& MD & CEO,,Mr. Alok Rungta,133,16,https://irdai.gov.in/list-of-life-insurers1,,
"22 , , , , - , - 400013 22nd Floor, A Wing, Marathon Futurex, N. M. Joshi Marg, Lower Parel - East, Mumbai - 400013",Mr. Shivank Chandra,life,/ Tel 022 - 23029200,https://www.ageasfederal.com/,Ageas Federal Life Insurance Company Limited,& MD & CEO,,Mr. Jude Pijush Gomes,135,17,https://irdai.gov.in/list-of-life-insurers1,,
"139 P Sector - 44, Gurugram - 122003 Haryana, India",/ Mr. Nitin Agarwal,life,/ Tel 0124 - 4535500,https://www.canarahsbclife.com/,Canara HSBC Life Insurance Company Limited,& MD & CEO,,Mr. Anuj Mathur,136,18,https://irdai.gov.in/list-of-life-insurers1,,
", -201, , , . , , (), - 400459 Bandhan Life Insurance Limited - A - 201, 2nd Floor, Leela Business Park, Nr. Airport Road Metro Station, Andheri Kurla Road, Andheri (East), Mumbai - 400459",Mr. Kamlesh Gupta,life,/ Tel 022 61180100,www.bandhanlife.com,Bandhan Life Insurance Limited,& MD & CEO,,Mr. Satishwar Balakrishnan,138,19,https://irdai.gov.in/list-of-life-insurers1,,
", , 9, , -III, 122002 4th Floor, Tower B, Building No.9, DLF Cyber City, Phase-III, Gurgaon 122002",Ms. Asha Murali,life,/ Tel 0124 - 4697000,https://www.pramericalife.in/,Pramerica Life Insurance Company Limited,& MD & CEO,,Mr. Pankaj Gupta,140,20,https://irdai.gov.in/list-of-life-insurers1,,
"11 , : 34, 35 & 38, , - 30, , 400703 11th Floor, Plot No: 34, 35 & 38, Vishwaroop IT Park, Sector-30 A of IIP, Vashi, Navi Mumbai 400703",Mr. Pradeep Kumar Anand,life,/ Tel 022- 39546200,https://www.sudlife.in/,- Star Union Dai-Ichi Life Insurance Company Limited,& MD & CEO,,Mr. Abhay Tewari,142,21,https://irdai.gov.in/list-of-life-insurers1,,
"12 13 , [] , 4, , , , (), - 400063 12th and 13th Floor, North [C] wing,Tower 4, NESCO IT Park, NESCO Centre, Western Express Highway, Goregaon (East), Mumbai - 400063",Ms. Bhavna Verma,life,/ Tel 022 39418700,https://www.indiafirstlife.com/,IndiaFirst Life Insurance Company Limited,& MD & CEO,,Mr. Rushabh Gandhi,143,22,https://irdai.gov.in/list-of-life-insurers1,,
", 3, , , , (), - 400070 6th Floor, Tower 3, Wing ‘B’, Kohinoor City, Kirol Road, Kurla (W), Mumbai – 400070",Mr. Ritesh Choudhary,life,/ Tel 022-4063 5599,https://www.edelweisslife.in/.,Edelweiss Life Insurance Company Limited,& MD & CEO,,Mr. Sumit Rai,147,23,https://irdai.gov.in/list-of-life-insurers1,,
", 595, , , , -1 , - 560078 1st Floor, 595, Sri Lakshmi Adi Narayana Swamy Arcade, Outer Ring Road, JP Nager, Phase-1 Bengaluru, Karnakata - 560078",Ms Arundhati Ghoshal,life,/ Tel 080-6997 8070,www.creditaccesslife.in,CreditAccess Life Insurance Limited,& MD & CEO,,Mr. Diwakar Ram Boddupolli,163,24,https://irdai.gov.in/list-of-life-insurers1,,
"36/5, 27 , -2, , - 560102 36/5, Hustlehub One East Somasandrapalaya 27th Main Road, Sector-2, HSR Layout Bengaluru, Karnataka - 560102",Mr. Ishwar S Gopashetti,life,/ Tel 080-68323600,https://www.acko.com/life-insurance,Acko Life Insurance Limited,& MD & CEO,,,164,25,https://irdai.gov.in/list-of-life-insurers1,,
"( ), , , 1579, -411005 Ananta One (AR One), Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No. 1579, Shivajinagar Pune-411005",Ms. Sanghamitra Dey,life,/ Tel 18002585956,https://www.godigit.com/life,Go Digit Life Insurance Limited.,& MD & CEO,,Mr. Srinivasan Parthasarathy,165,26,https://irdai.gov.in/list-of-life-insurers1,,
", 1, , 841, , , - 400013 One World Centre, Tower 1, Jupiter Mills Compound, 841, S B Marg, Elphinstone Road, Mumbai - 400013",/ Ms. Yogita Arora,health,/ Phone - 022 62799505 / 62799502 / CCO: 022-62799561,,Aditya Birla Health Insurance Co. Ltd.,,,Mr. Mayank Bathwal,,1,https://irdai.gov.in/list-of-health-insurers,Web:www.adityabirlahealthinsurance.com,https://www.adityabirlahealthinsurance.com
", , - 43, , -122009 Vipul Tech Square, Tower C, 3rd Floor Sector- 43, Golf Course Road, Gurgaon -122009",.. Mr. C.S Dwivedi,health,/ Tel: 0124 - 6141810 / Fax: 0124 - 6141894,,( ) Care Health Insurance Ltd. (formerly known as Religare Health Insurance Co. Ltd.),,,Mr. Anuj Gulati,,2,https://irdai.gov.in/list-of-health-insurers,Web: www.careinsurance.com,https://www.careinsurance.com
", 12 (), #௪௭௧, , , - 600 035 Prestige Polygon, 12th Top Floor (P), #471, Anna Salai, Nandanam, Chennai - 600 035.",Ms. Anupam Bansal,health,/ Tel:044 - 40017227,,. ( ) Galaxy Health Insurance Company Limited (formerly known as Galaxy Health and Allied Insurance Co. Ltd),,,Mr. G Srinivasan,,3,https://irdai.gov.in/list-of-health-insurers,Web Address: https://www.galaxyhealth.com/,https://www.galaxyhealth.com/
"261/, , , , - 560099 261/A, Second Floor, Bommasandra Industrial Area, Anekal Talauk, Bengaluru - 560099",Mr. Himanshu Manocha,health,/ Phone: 9821034071,,Narayana Health Insurance Ltd.,,,() Ms. Sheela Ananth (Designate),,4,https://irdai.gov.in/list-of-health-insurers,Web Address: https://narayanahealth.insurance/,https://narayanahealth.insurance/
"401/402, , , , (), - 400 063 401/402, 4th Floor, Raheja Titanium, Off Western Express Highway, Goregaon (East), Mumbai - 400 063",Mr. Vishal Jain,health,/ Phone: 1800-102-4462,,Manipal Cigna Health Insurance Company Limited,,,--,,5,https://irdai.gov.in/list-of-health-insurers,Web address: www.manipalcigna.com,https://www.manipalcigna.com
"-98 , 1, -110024 C-98 Lajpat Nagar, Part 1, New Delhi-110024",Mr. Manish Sen,health,/ Phone : + 91-11-30902000,,Niva Bupa Health Insurance Co Ltd.,,,Mr. Krishnan Ramachandran,,6,https://irdai.gov.in/list-of-health-insurers,Web: www.nivabupa.com,https://www.nivabupa.com
"1, , , , - 600 034 Star Health & Allied Insurance Co.Ltd. 1, New Tank Street, Valluvar Kottam High Road, Nungambakkam, Chennai- 600 034",Mr. Ashwani Kumar Arora,health,/ Phone: 044 - 28288800,,Star Health & Allied Insurance Co.Ltd.,,,Mr.Anand Roy,,7,https://irdai.gov.in/list-of-health-insurers,Web: www.starhealth.in,https://www.starhealth.in
