address,appointed_actuary,category,contacts,insurer_email,insurer_name,leader_designation,leader_email,leader_name,registration_number,serial_no,source_url,website_url
", 3, 6 , , (), - 400013 Indiabulls Finance Centre, Tower 3, 6th Floor, Senapati Bapat Marg, Elphonstone (W), Mumbai-400013",Mr. Aditya Mall,life,/ Tel 022- 40976666,https://www.generalicentrallife.com/,Generali Central Life Insurance Company Limited,& MD & CEO,,Mr. Alok Rungta,133,16,https://irdai.gov.in/list-of-life-insurers1,
"22 , , , , - , - 400013 22nd Floor, A Wing, Marathon Futurex, N. M. Joshi Marg, Lower Parel - East, Mumbai - 400013",Mr. Shivank Chandra,life,/ Tel 022 - 23029200,https://www.ageasfederal.com/,Ageas Federal Life Insurance Company Limited,& MD & CEO,,Mr. Jude Pijush Gomes,135,17,https://irdai.gov.in/list-of-life-insurers1,
"139 P Sector - 44, Gurugram - 122003 Haryana, India",/ Mr. Nitin Agarwal,life,/ Tel 0124 - 4535500,https://www.canarahsbclife.com/,Canara HSBC Life Insurance Company Limited,& MD & CEO,,Mr. Anuj Mathur,136,18,https://irdai.gov.in/list-of-life-insurers1,
", -201, , , . , , (), - 400459 Bandhan Life Insurance Limited - A - 201, 2nd Floor, Leela Business Park, Nr. Airport Road Metro Station, Andheri Kurla Road, Andheri (East), Mumbai - 400459",Mr. Kamlesh Gupta,life,/ Tel 022 61180100,www.bandhanlife.com,Bandhan Life Insurance Limited,& MD & CEO,,Mr. Satishwar Balakrishnan,138,19,https://irdai.gov.in/list-of-life-insurers1,
", , 9, , -III, 122002 4th Floor, Tower B, Building No.9, DLF Cyber City, Phase-III, Gurgaon 122002",Ms. Asha Murali,life,/ Tel 0124 - 4697000,https://www.pramericalife.in/,Pramerica Life Insurance Company Limited,& MD & CEO,,Mr. Pankaj Gupta,140,20,https://irdai.gov.in/list-of-life-insurers1,
"11 , : 34, 35 & 38, , - 30, , 400703 11th Floor, Plot No: 34, 35 & 38, Vishwaroop IT Park, Sector-30 A of IIP, Vashi, Navi Mumbai 400703",Mr. Pradeep Kumar Anand,life,/ Tel 022- 39546200,https://www.sudlife.in/,- Star Union Dai-Ichi Life Insurance Company Limited,& MD & CEO,,Mr. Abhay Tewari,142,21,https://irdai.gov.in/list-of-life-insurers1,
"12 13 , [] , 4, , , , (), - 400063 12th and 13th Floor, North [C] wing,Tower 4, NESCO IT Park, NESCO Centre, Western Express Highway, Goregaon (East), Mumbai - 400063",Ms. Bhavna Verma,life,/ Tel 022 39418700,https://www.indiafirstlife.com/,IndiaFirst Life Insurance Company Limited,& MD & CEO,,Mr. Rushabh Gandhi,143,22,https://irdai.gov.in/list-of-life-insurers1,
", 3, , , , (), - 400070 6th Floor, Tower 3, Wing ‘B’, Kohinoor City, Kirol Road, Kurla (W), Mumbai – 400070",Mr. Ritesh Choudhary,life,/ Tel 022-4063 5599,https://www.edelweisslife.in/.,Edelweiss Life Insurance Company Limited,& MD & CEO,,Mr. Sumit Rai,147,23,https://irdai.gov.in/list-of-life-insurers1,
", 595, , , , -1 , - 560078 1st Floor, 595, Sri Lakshmi Adi Narayana Swamy Arcade, Outer Ring Road, JP Nager, Phase-1 Bengaluru, Karnakata - 560078",Ms Arundhati Ghoshal,life,/ Tel 080-6997 8070,www.creditaccesslife.in,CreditAccess Life Insurance Limited,& MD & CEO,,Mr. Diwakar Ram Boddupolli,163,24,https://irdai.gov.in/list-of-life-insurers1,
"36/5, 27 , -2, , - 560102 36/5, Hustlehub One East Somasandrapalaya 27th Main Road, Sector-2, HSR Layout Bengaluru, Karnataka - 560102",Mr. Ishwar S Gopashetti,life,/ Tel 080-68323600,https://www.acko.com/life-insurance,Acko Life Insurance Limited,& MD & CEO,,,164,25,https://irdai.gov.in/list-of-life-insurers1,
"( ), , , 1579, -411005 Ananta One (AR One), Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No. 1579, Shivajinagar Pune-411005",Ms. Sanghamitra Dey,life,/ Tel 18002585956,https://www.godigit.com/life,Go Digit Life Insurance Limited.,& MD & CEO,,Mr. Srinivasan Parthasarathy,165,26,https://irdai.gov.in/list-of-life-insurers1,
