Sr. No.,Insurer,Registered/Corporate Address,CEO/CMD,Appointed Actuary,Telephone no./Fax no./ Web address of the Insurer,Website
15,National Insurance Company Limited,".18-0374, .-81, , -700 156 (09/08/2023 ) Premises No.18-0374, Plot No.CBD-81, New Town, Kolkata-700 156 (effective from 09/08/2023)",Ms. Rajeshwari Singh Muni,Mr.Ashok Kumar Lahoty,/ Phone: 033-22831705 / Fax: 033-22831740,/ Web: https://nationalinsurance.nic.co.in
16,Navi General Insurance Limited,", 7 , , , , - 560102 Vaishnavi Tech Square, 7th Floor, Iballur Village, Begur Hobli, Bengaluru, Karnataka- 560102",Mr.Vaibhav Goyal,Mr Shantanu Gaur,/ Phone: 18001230004,/ Web: www.naviinsurance.com
17,Raheja QBE General Insurance Co. Ltd.,", , , , (), - 400099Raheja QBE General Insurance Co. Ltd. Ground Floor, P&G Plaza, Cardinal Gracious Road, Chakala, Andheri (East),Mumbai - 400099",Mr. Rajeev Dogra,/ Nikhil Kamdar,/ Phone: 022- 4231 3888 Fax : 022-4231 3777,/ Web: www.rahejaqbe.com
18,Reliance General Insurance Company Limited,", 6 , , , , , (), - 400063 Reliance General Insurance Company Limited, 6th Floor, Oberoi Commerz, International Business Park, Oberoi Garden City, Off Western Express Highway, Goregaon (East), Mumbai – 400063",Mr. Rakesh Jain,Mr. A V Karthikeyan,/ Phone: 022-33031000 / Fax : 022-33034662,/ Web: www.reliancegeneral.co.in
19,Royal Sundaram General Insurance Company Limited,""" "", 2/319, (), , - 600097 ""Vishranthi Melaram Towers"", No.2/319, Rajiv Gandhi Salai (OMR), Karapakkam, Chennai - 600097",Mr. Vedanarayanan,Mr. A V Ramanan,/ Phone: 044-71177117,/ Web: www.royalsundaram.in
20,SBI General Insurance Company Limited,", 9 , & , , (), 400099 Fulcrum Building, 9th Floor, A & B wing, Sahar Road, Andheri (East), Mumbai 400099",Mr. Naveen Chandra Jha,Mr. Pushkar Deodhar,/ Phone no : +91 22 4241 2000,/ Web : www.sbigeneral.in
21,Shriram General Insurance Company Limited,"-8, , , , - 302022 () E-8, EPIP, RIICO Industrial Area, Sitapura, Jaipur - 302022 (Rajasthan)",Mr. Anil Kumar Aggarwal,Mr. Sourav Roy,"/ Phone: +91-141-4828400, 4951111, 3996700 / Fax: +91-141-2770692 / 93",/ Web: Address: www.shriramgi.com
22,Tata AIG General Insurance Company Limited,", , 15 , , , - 400013 Peninsula Business Park, Tower A, 15th Floor, G.K. Marg, Lower Parel, Mumbai – 400013",Mr.Amit S.Ganorkar,Mr.Supriyo Chaki,/ Phone: 022-66699696,/ Web: www.tataaig.com
23,The New India Assurance Company Limited,"87, , , , - 400 001 87, M.G Road, Fort, Mumbai, Maharashtra – 400 001",Mrs. Girija Subramanian,Mr Sharad Ramnarayanan,/ Phone: 022-22708100 / Fax: 022-22700470,/ Web: www.newindia.co.in
24,The Oriental Insurance Company Limited,", "" "", -25/27, , -I 110 002 The Oriental Insurance Company Limited,“Oriental House”, A-25/27, Asaf Ali Road, New Delhi-I 110 002",() () Mr Rashmi Bajpai (ED) & Mr.Amit Mishra (ED),Mr. Rohit Singhal,"/ Phone: 011-2326 5024, 2327 9221",/ Web: www.orientalinsurance.org.in
25,United India Insurance Company Limited,"24, , -600014 No.24, Whites Road, Chennai -600014",Mr. Bhupesh Sushil Rahul,/ Mr. Ramnath Venkat Bhagavath,/ Phone : 044-28520958/28525275 / Fax: 044-28525280,/ Web: www.uiic.co.in
26,Universal Sompo General Insurance Company Limited,"103, , , , (), -400093, Unit No.103, 1st Floor, Ackruti Star, MIDC, Andheri (East), Mumbai-400093, Maharashtra",Mr.Sharad Mathur,Mr.Vikas Garg,/ Phone: 022-41659800/ 41659900,/ Web: www.universalsompo.com
27,( ) Zuno General Insurance Ltd. (formerly known as Edelweiss General Insurance Company Limited),", 3, , , , () , 400070 2nd floor, Tower 3, Wing B, Kohinoor City, Kirol Road, Kurla (west) Mumbai City MH, 400070",Ms. Shubhdarshini Ghosh,Ms. Tania Chakrabarti,/ Phone : 1800 12000,/ Web: www.hizuno.com
28,"(3 , 2021 ) Bharti Axa General Insurance Co. Ltd (Merged with ICICI Lombard General Insurance Co. Ltd effective from 3rd September, 2021)",,,,,
